,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1,25/08/07,Juventus,Livorno,5,1,H,1,0,H,21,10,9,3,24,13,5,5,3,3,0,0
2,25/08/07,Lazio,Torino,2,2,D,0,1,A,20,14,11,3,10,17,9,7,1,1,0,1
3,26/08/07,Fiorentina,Empoli,3,1,H,0,0,D,13,11,7,4,18,17,5,4,0,1,0,0
4,26/08/07,Genoa,Milan,0,3,A,0,3,A,17,12,4,5,20,12,7,3,1,2,0,0
5,26/08/07,Inter,Udinese,1,1,D,1,0,H,10,20,3,3,11,17,6,6,2,2,1,0
6,26/08/07,Napoli,Cagliari,0,2,A,0,0,D,14,13,5,5,23,15,2,3,2,2,0,0
7,26/08/07,Palermo,Roma,0,2,A,0,2,A,14,26,4,11,11,14,8,5,3,1,0,0
8,26/08/07,Parma,Catania,2,2,D,2,2,D,22,7,8,3,24,21,5,3,2,3,0,0
9,26/08/07,Reggina,Atalanta,1,1,D,0,0,D,16,8,4,2,22,19,3,3,3,7,0,0
10,26/08/07,Siena,Sampdoria,1,2,A,0,1,A,11,15,5,5,13,19,4,3,0,3,0,0
11,1/9/2007,Empoli,Inter,0,2,A,0,1,A,10,14,2,7,19,16,4,5,2,1,0,0
12,2/9/2007,Atalanta,Parma,2,0,H,1,0,H,10,18,5,2,18,23,3,2,3,4,0,0
13,2/9/2007,Cagliari,Juventus,2,3,A,0,0,D,18,10,6,4,21,21,9,2,1,3,1,1
14,2/9/2007,Catania,Genoa,0,0,D,0,0,D,9,7,1,1,15,25,6,5,2,4,0,0
15,2/9/2007,Livorno,Palermo,2,4,A,0,4,A,16,14,4,8,26,20,4,6,2,4,0,0
16,2/9/2007,Roma,Siena,3,0,H,1,0,H,22,18,9,3,17,11,6,6,0,2,0,0
17,2/9/2007,Sampdoria,Lazio,0,0,D,0,0,D,11,16,3,3,26,23,4,6,0,4,1,0
18,2/9/2007,Torino,Reggina,2,2,D,1,1,D,13,14,5,5,25,12,5,6,2,2,0,0
19,2/9/2007,Udinese,Napoli,0,5,A,0,2,A,18,16,4,8,12,23,5,5,2,2,0,0
20,3/9/2007,Milan,Fiorentina,1,1,D,1,0,H,18,16,5,4,27,24,7,4,1,4,0,0
21,15/09/07,Lazio,Empoli,0,0,D,0,0,D,11,6,5,1,17,22,4,5,1,1,0,0
22,15/09/07,Siena,Milan,1,1,D,1,0,H,11,18,5,8,17,13,6,9,3,1,1,0
23,16/09/07,Fiorentina,Atalanta,2,2,D,1,0,H,16,6,7,3,21,26,10,2,4,3,0,1
24,16/09/07,Genoa,Livorno,1,1,D,0,0,D,17,13,3,5,24,23,13,3,0,3,1,1
25,16/09/07,Inter,Catania,2,0,H,1,0,H,18,10,7,3,22,10,9,9,1,1,0,0
26,16/09/07,Juventus,Udinese,0,1,A,0,0,D,18,12,2,1,18,19,8,8,1,1,0,0
27,16/09/07,Napoli,Sampdoria,2,0,H,1,0,H,21,5,6,2,15,21,12,5,1,3,0,0
28,16/09/07,Palermo,Torino,1,1,D,1,0,H,7,18,3,4,22,18,6,10,2,2,0,0
29,16/09/07,Parma,Cagliari,1,1,D,0,1,A,11,6,4,1,23,27,4,5,2,2,0,0
