,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
1,Juventus,Livorno,5,1,H,1,0,H,21,10,9,3,24,13,5,5,3,3,0,0
2,Lazio,Torino,2,2,D,0,1,A,20,14,11,3,10,17,9,7,1,1,0,1
3,Fiorentina,Empoli,3,1,H,0,0,D,13,11,7,4,18,17,5,4,0,1,0,0
4,Genoa,Milan,0,3,A,0,3,A,17,12,4,5,20,12,7,3,1,2,0,0
5,Inter,Udinese,1,1,D,1,0,H,10,20,3,3,11,17,6,6,2,2,1,0
6,Napoli,Cagliari,0,2,A,0,0,D,14,13,5,5,23,15,2,3,2,2,0,0
7,Palermo,Roma,0,2,A,0,2,A,14,26,4,11,11,14,8,5,3,1,0,0
8,Parma,Catania,2,2,D,2,2,D,22,7,8,3,24,21,5,3,2,3,0,0
9,Reggina,Atalanta,1,1,D,0,0,D,16,8,4,2,22,19,3,3,3,7,0,0
10,Siena,Sampdoria,1,2,A,0,1,A,11,15,5,5,13,19,4,3,0,3,0,0
11,Empoli,Inter,0,2,A,0,1,A,10,14,2,7,19,16,4,5,2,1,0,0
12,Atalanta,Parma,2,0,H,1,0,H,10,18,5,2,18,23,3,2,3,4,0,0
13,Cagliari,Juventus,2,3,A,0,0,D,18,10,6,4,21,21,9,2,1,3,1,1
14,Catania,Genoa,0,0,D,0,0,D,9,7,1,1,15,25,6,5,2,4,0,0
15,Livorno,Palermo,2,4,A,0,4,A,16,14,4,8,26,20,4,6,2,4,0,0
16,Roma,Siena,3,0,H,1,0,H,22,18,9,3,17,11,6,6,0,2,0,0
17,Sampdoria,Lazio,0,0,D,0,0,D,11,16,3,3,26,23,4,6,0,4,1,0
18,Torino,Reggina,2,2,D,1,1,D,13,14,5,5,25,12,5,6,2,2,0,0
19,Udinese,Napoli,0,5,A,0,2,A,18,16,4,8,12,23,5,5,2,2,0,0
20,Milan,Fiorentina,1,1,D,1,0,H,18,16,5,4,27,24,7,4,1,4,0,0
21,Lazio,Empoli,0,0,D,0,0,D,11,6,5,1,17,22,4,5,1,1,0,0
22,Siena,Milan,1,1,D,1,0,H,11,18,5,8,17,13,6,9,3,1,1,0
23,Fiorentina,Atalanta,2,2,D,1,0,H,16,6,7,3,21,26,10,2,4,3,0,1
24,Genoa,Livorno,1,1,D,0,0,D,17,13,3,5,24,23,13,3,0,3,1,1
25,Inter,Catania,2,0,H,1,0,H,18,10,7,3,22,10,9,9,1,1,0,0
26,Juventus,Udinese,0,1,A,0,0,D,18,12,2,1,18,19,8,8,1,1,0,0
27,Napoli,Sampdoria,2,0,H,1,0,H,21,5,6,2,15,21,12,5,1,3,0,0
28,Palermo,Torino,1,1,D,1,0,H,7,18,3,4,22,18,6,10,2,2,0,0
29,Parma,Cagliari,1,1,D,0,1,A,11,6,4,1,23,27,4,5,2,2,0,0
30,Reggina,Roma,0,2,A,0,0,D,7,25,2,9,21,12,1,4,3,2,1,0
31,Milan,Parma,1,1,D,1,0,H,23,14,4,3,16,24,6,4,1,5,0,0
32,Udinese,Reggina,2,0,H,1,0,H,18,10,8,1,23,15,3,5,1,1,0,0
33,Atalanta,Lazio,2,1,H,1,0,H,10,16,4,5,24,17,3,7,5,2,0,0
34,Cagliari,Palermo,0,1,A,0,1,A,18,10,7,5,12,26,5,3,1,1,0,0
35,Catania,Fiorentina,0,1,A,0,1,A,12,12,5,4,19,29,5,4,4,2,1,0
36,Empoli,Napoli,0,0,D,0,0,D,12,8,5,3,23,16,2,2,4,2,0,0
37,Livorno,Inter,2,2,D,1,1,D,16,23,9,10,17,19,6,2,4,2,0,1
38,Roma,Juventus,2,2,D,2,1,H,23,10,9,3,20,22,6,4,2,3,0,0
39,Sampdoria,Genoa,0,0,D,0,0,D,14,5,0,0,28,33,5,5,4,2,0,0
40,Torino,Siena,1,1,D,1,0,H,14,12,3,5,20,19,3,2,3,2,0,1
41,Catania,Empoli,1,0,H,0,0,D,8,11,6,3,26,20,10,6,2,3,1,1
42,Fiorentina,Roma,2,2,D,1,2,A,23,15,5,9,23,21,10,4,2,2,1,0
43,Genoa,Udinese,3,2,H,1,0,H,12,12,6,5,12,20,5,4,3,5,1,0
44,Inter,Sampdoria,3,0,H,1,0,H,16,11,6,1,17,13,5,4,1,1,0,0
45,Juventus,Reggina,4,0,H,0,0,D,20,11,10,1,24,13,11,3,1,2,0,0
46,Lazio,Cagliari,3,1,H,0,0,D,18,9,8,2,20,13,8,4,2,3,0,0
47,Napoli,Livorno,1,0,H,0,0,D,24,8,9,1,19,13,12,2,2,1,0,0
48,Palermo,Milan,2,1,H,0,1,A,11,23,4,8,16,16,4,13,1,1,0,0
49,Parma,Torino,2,0,H,0,0,D,16,7,6,0,22,24,6,2,2,3,0,0
50,Siena,Atalanta,1,1,D,1,0,H,5,10,1,3,22,20,3,4,1,6,0,0
51,Livorno,Fiorentina,0,3,A,0,1,A,10,18,1,5,23,27,5,7,4,3,1,0
52,Roma,Inter,1,4,A,0,1,A,12,15,4,10,13,19,8,3,1,1,1,0
53,Cagliari,Siena,1,0,H,1,0,H,11,10,3,2,14,34,1,1,2,2,0,0
54,Empoli,Palermo,3,1,H,0,1,A,23,5,8,2,19,20,11,2,3,2,0,1
55,Milan,Catania,1,1,D,0,1,A,18,9,4,1,20,28,6,5,4,3,0,0
56,Napoli,Genoa,1,2,A,0,1,A,15,11,3,4,22,15,8,4,4,3,0,0
57,Reggina,Lazio,1,1,D,1,0,H,7,20,3,2,25,24,1,5,2,3,1,0
58,Sampdoria,Atalanta,3,0,H,1,0,H,5,15,3,5,24,22,3,6,2,3,0,0
59,Torino,Juventus,0,1,A,0,0,D,8,9,2,3,18,19,5,2,4,4,0,0
60,Udinese,Parma,2,1,H,0,0,D,14,7,6,2,24,25,2,4,3,2,0,0
61,Atalanta,Udinese,0,0,D,0,0,D,15,10,5,1,27,18,11,0,2,4,0,0
62,Inter,Napoli,2,1,H,2,0,H,14,10,4,4,15,20,3,2,3,4,0,0
63,Catania,Livorno,1,0,H,1,0,H,9,12,5,3,17,21,4,2,2,3,0,1
64,Fiorentina,Juventus,1,1,D,0,1,A,14,6,4,3,14,24,4,3,2,3,0,0
65,Genoa,Cagliari,2,0,H,0,0,D,28,12,10,2,23,14,8,2,3,3,0,0
66,Lazio,Milan,1,5,A,1,2,A,12,12,6,7,10,16,1,4,2,2,0,0
67,Palermo,Reggina,1,1,D,0,0,D,24,19,8,5,21,13,5,2,2,0,1,0
68,Parma,Roma,0,3,A,0,2,A,12,15,2,5,16,17,3,5,2,2,1,0
69,Siena,Empoli,3,0,H,0,0,D,21,8,10,1,16,27,4,1,0,1,0,1
70,Torino,Sampdoria,1,0,H,0,0,D,19,8,5,2,34,17,6,7,2,3,0,1
